Name,Type
A同事,Entity
各台主機KV store憑證,Entity
AbuseIPDB可檢測情資並直接串接splunk,Entity
estreamer 資料清理排程,Entity
更新uf清单，并在更新后让uf重新报到,Entity
HTTP对对外大量传输资料报表,Entity
報表,Entity
FCB腳本,Entity
B部门,Entity
172.20.137.45,Entity
Identity,Entity
/etc/cron.d/logrotate-syslog,Entity
僅收到狀態log，且KVstore狀態異常,Entity
10.0.2/2025.11.14,Entity
Asset and Identity priority確認,Entity
Search Head測試,Entity
先前已設定基本的Risk分數計算機制,Entity
messages-20251214檔案,Entity
設備,Entity
斷行,Entity
"src=""172.*"" 的事件",Entity
DEP02主機,Entity
處理工程師,Entity
進行維護,Entity
狀況,Entity
Indexer 索引同步狀態,Entity
補跑,Entity
进行升版,Entity
收容,Entity
2025/11/14 09:00,Entity
未出現於DC_ARP_table中的設備,Entity
2025/11/17 09:00 至 2025/11/17 17:00,Entity
平均授權用量,Entity
已將過期憑證移除並重新產生新憑證,Entity
日志转发设置,Entity
eStreamer 資料異常處理,Entity
本周工作項目,Entity
KV store,Entity
FWD03底層資料收容filter設定,Entity
重起服務,Entity
功能,Entity
E客戶駐點工作事項,Entity
憑證效期(B部門),Entity
Centos作業系統升級,Entity
處置動作,Entity
PA,Entity
擴充授權量,Entity
estreamer,Entity
PA每月報表,Entity
处理,Entity
公用电脑,Entity
[IP],Entity
使用者 sailag,Entity
軟件,Entity
已補跑報告並寄送郵件，另外報告存取時間為1天，所以以排程報告執行時間(11/1)，保存期限為11/2,Entity
Splunk 驻點服務,Entity
完成 新增indexer至IDX cluster節點，目前將觀察index同步狀態,Entity
checkpoint告警,Entity
2025/11/06 10:00 至 2025/11/06 11:00,Entity
2025/10/30 13:30 至 2025/10/30 17:00,Entity
SH上,Entity
Gitlab漏洞修補 18.5.4 -> 18.5.5,Entity
工作,Entity
mitreattack,Entity
low,Entity
H3,Entity
2025弱點掃描報告資訊整理,Entity
2026/01/19 13:30 至 2026/01/19 17:30,Entity
關閉,Entity
账号状态,Entity
SH新增,Entity
workaround,Entity
升版,Entity
使用者權限調整,Entity
已请james向FISAC提交,Entity
FCB設定,Entity
cybereyes api 告警,Entity
Switch_6FDC.csv,Entity
維護報告該檢查,Entity
客制寄件套件设置,Entity
FIsac情資,Entity
Splunk駐點服務202510第一周(2025/10/01),Entity
IP申請單,Entity
升級,Entity
Identity新增title(職稱),Entity
E客户,Entity
索引器集群,Entity
Splunk SIEM(12)月維護.DM20240200+DN20240393,Entity
DEP02 ([IP]),Entity
admin能力的继承,Entity
代办事项,Entity
2025/07/29 12:00 至 2025/07/29 13:00,Entity
预设发送套件,Entity
Splunk 版本,Entity
KVstore憑證,Entity
正常連線至LM,Entity
Splunk駐點服務202510第四周(2025/10/20),Entity
Google Cloud Platform,Entity
BTDC2,Entity
FWD03 底層資料,Entity
2025/12/04 08:30 至 2025/12/04 09:00,Entity
2025/12/23 13:30 至 2025/12/23 17:30,Entity
授權用量,Entity
套件,Entity
現有設備清單,Entity
索引至底層索引器,Entity
2025/11/24 09:00 至 2025/11/24 17:30,Entity
9.3.3/2025.02.26,Entity
2025/11/26 13:30 至 2025/11/26 14:30,Entity
代辦事項,Entity
Splunk 2025 MA 11月定保.DM20250088_(7/12),Entity
FCB,Entity
新增index,Entity
內部憑證,Entity
splunk_B客戶B部門,Entity
datamodel dnsAMD,Entity
2026年國定假日,Entity
indexer索引同步狀態,Entity
該sourcetype,Entity
20GB,Entity
處理時間,Entity
<刪除資料庫中IOC>,Entity
10台UF,Entity
F客戶,Entity
B部門,Entity
版本18.5.2,Entity
報告及告警,Entity
動作,Entity
底層 1,Entity
KV store憑證,Entity
时间从2025/12/24 13:30 至 2025/12/24 20:00,Entity
頁面復原,Entity
CPU用量明顯上升且已持續兩周，同時磁碟用量也達到90%，其中estreamer資料占用約109G,Entity
Cyble ASM IP,Entity
crowdstrike套件,Entity
升版至9.3.8,Entity
2025/12/26 15:00 至 2025/12/26 16:00,Entity
自動化封鎖清單異動儀表板建置,Entity
DEP02 root服務,Entity
新增,Entity
至IDX cluster節點,Entity
2025/12/30 13:30 至 2025/12/30 17:30,Entity
今日,Entity
建立告警<PWLAN觸發IPS高風險告警>,Entity
/var/log/messages-20251214,Entity
CVE-2023-4133,Entity
問題,Entity
2025/11/25 09:30 至 2025/11/25 14:00,Entity
KPMG滲透測試IP白名單,Entity
172.18.44.31,Entity
2025/12/03 13:30 至 2025/12/03 17:40,Entity
2026/01/02 17:33 至 2026/01/02 17:35,Entity
2025/11/04 17:30,Entity
每2小時檢查一次,Entity
Splunk每週onsite,Entity
H客戶,Entity
