node,conceptualized_node,node_type
狀態描述 (Description): E客戶駐點工作事項 - 20251114,"work, inspection, maintenance, support, operations",event
3.KPMG滲透測試IP白名單 已將IP加入白名單，但提供的清單中有很多為網段，需要修改規則才能比對，目前正在修改中,"penetration, testing, whitelisting, modification, validation",event
建議更新至最新版本10.0.1,"update, version, upgrade",event
平均授權用量為239.38GB,"data, usage, average",event
待辦事項: 1. 告警盤點,"inspection, inventory, safety, monitoring, checklists",event
5.<HTTP对外大量传输数据报表>调整於<HTTPS大量资料传输告警>排除特定URL改由报表寄送,"data transmission, reporting, security, url, monitoring",event
建議進行升版 -當前版本：9.3.8 / 2025.11.14 -最新版本：10.0.2 / 2025.11.14,"update, upgrade, version, improvement",event
狀態描述包括Splunk_11月維護,"maintenance, update, stability, configuration, upgrade",event
目前已請james 向FISAC提交需使用API的IP申請單,"submission, approval, api, ip, authorization",event
本日駐點工作內容如下： B部门3.SH KVstore引擎異常測試-进行中 正在个人的测试环境测试SH 的KVstore状态。,"testing, anomaly, verification, operation, maintenance",event
將ocp_cdibh资料删除後，重新进行资料同步,"deleting, synchronization, data, removal, resync",event
SPLUNK月報寄送 已將SPLUNK2024/09~2025/08的維護報告寄給Hank,"reporting, maintenance, notification, update, delivery",event
本日工作項目： 2.資產上傳APP程式調整 甲、將”硬體狀態”欄位加入category中,"adjustment, upload, hardware, category, app",event
进行版本更新至最新版本10.0.2 / 2025.11.14,"update, version, latest, improvement",event
處理工程師為 A人員 進行時間為 2025/11/03 10:00 至 2025/11/03 12:00。,"maintenance, calibration, inspection, operation, servicing",event
"處理工程師為 A人員, C人員 进行时间","processing, managing, time management, assigning, supervising",event
採取workaround，先將RF/SF調至1/1，並將所有資料往單一IDX進行拋送,"workaround, adjustment, redirection, single-threaded",event
已確認SPLUNK可正常登入使用、KVSTORE 狀態正常，網頁憑證期限更新至2027/12月,"system check, authentication, validation, update, functionality",event
關閉imsdb02UF中舊的殘留input設定,"shutdown, configuration, update, maintenance",event
今日已完成Splunk版本升級， 自9.2.3升版至9.3.8,"upgrade, version, software, installation, update",event
這是一筆關於 B客戶 的維護紀錄。,"maintenance, record, service, 保养, 记录, 维护",event
设定 logrotate 排程监控：每2小时检查一次（/etc/cron.d/logrotate-syslog）超过 1G自动 rotate 保留30个文件 自动压缩,"crontab, rotation, monitoring, compression, scheduling",event
待辦事項: 1. SSH Server 漏洞修補 2. Gitlab漏洞修補,"patching, security, vulnerabilities, updating",event
A部门 DEP02连动主机检查,"check, 联动, maintenance, inspection, operation",event
處理工程師為 C人員 進行時間為 2025/07/29 12:00 至 2025/07/29 13:00,"maintenance, operation, downtime, calibration, servicing",event
检查B部门 indexer索引同步状态,"checking, synchronization, status, indexing, verification",event
版本更新 : 暫不更新 - 當前版本: 9.3.8 / 2025.11.14 - 最新版本: 10.0.2 / 2025.11.14,"update, version, release",event
授權用量：建議擴充 -授權量：150 GB -平均授權用量：630 GB,"scaling, expansion, authorization, usage",event
5.問題追蹤：無,"tracking, investigation, issue, follow-up, inquiry",event
代辦事項： 7.DEP02 root服務確認,"confirmation, verification, validation, root, service",event
"工作內容如下，預計本周五(11/14)與下周二(11/18)到场作业，請您协助申请底層 1, 关闭Apim1与imsdb01两台UF中旧的残留input设定 2. 确认Checkpoint 资料收容 3. 确认asset中异常：有多個hostname有相同IP，确认原因為将是否报废/运营中栏位汇入资产","work, assignment, operation, maintenance, confirmation",event
狀態描述 (Description): E客戶駐點工作事項 - 20251218,"work, inspection, maintenance, support, collaboration",event
今日工作項目： 1.新增forcepoint endpoint dlp資料收容 Tcpdump尚未看到封包，待實際拋送後確認,"data collection, monitoring, network analysis, troubleshooting, validation",event
狀態描述 (Description): E客戶駐點工作事項 - 20251030,"work, presence, inspection, maintenance, coordination",event
"工作內容如下，預計本周五(11/14)與下周二(11/18)到場作業，請您協助申請底層 1, 关闭Apim1与imsdb01两台UF中旧的残留input设定 2. 确认Checkpoint 资料收容 3. 确认asset中异常：有多個hostname有相同IP，确认原因為将是否报废/运营中栏位汇入资产","work, operation, maintenance, confirmation, settings",event
已完成 cybereyes api 串接，並確認新資料進到 splunk,"integration, verification, dataflow, api, splunk",event
本周工作项目如下: 1.FWD02磁碟用量异常处理,"handling, abnormalities, management, correction, disk, project",event
